COLLEGE,"CONTROL NUMBER",TITLE,"TOP CODE","CIP CODE",GOAL,AWARD,"SUB AWARD","APPROVED DATE","CERT UNITS","MAJOR UNITS",STATUS
CANYONS,36163,"Web Publishing and Design","0614.30* Website Design and Development","11.0801 Web Page, Digital/Multimedia and Information Resources Design.","C - CTE","Certificate of Achievement requiring 16S/24Q to fewer than 30S/45Q units",,2018-01-17,25.50-25.50/25.50-25.50,,Active
"SANTIAGO CANYON",36304,"Computer Retail Sales and Support","0708.00* Computer Infrastructure and Support",,"C - CTE","Certificate of Achievement: 18  or greater semester(or 27  or greater quarter) units",,2018-02-22,18.00-18.00/18.00-18.00,0.00-0.00/0.00-0.00,Active
GLENDALE,36155,"Addiction Studies Counseling","2104.40* Alcohol and Controlled Substances","51.1501 Substance Abuse/Addiction Counseling.","C - CTE","Certificate of Achievement requiring 30S/45Q to fewer than 60S/90Q units",,2018-01-17,39.00-39.00/39.00-39.00,,Active
"MORENO VALLEY",37011,"Human Services","2104.00* Human Services","44.0000 Public Administration And Social Service Professions.","C - CTE","A.A. Degree",,2018-08-29,,20.00-20.00/23.00-23.00,Inactive
"L.A. TRADE-TECH",36615,"Sewing Operator","1303.10* Fashion Design",,"C - CTE","Noncredit program",,2018-04-21,0.00-0.00/0.00-0.00,0.00-0.00/0.00-0.00,Active
CLOVIS,36909,"Mechatronics/Industrial Automation","0945.00* Industrial Systems Technology and Maintenance",,"C - CTE","Certificate of Achievement: 18  or greater semester(or 27  or greater quarter) units",,2018-07-24,26.00-26.00/26.00-26.00,0.00-0.00/0.00-0.00,Active
CABRILLO,36833,"Basic Kitchen Skills","1306.30* Culinary Arts","12.0500 Cooking and Related Culinary Arts, General.","C - CTE","Noncredit program",,,,,Active
"RIO HONDO",36646,"Construction Management","0957.00* Civil and Construction Management Technology","46.0412 Building/Construction Site Management/Manager.","C - CTE","A.S. Degree",,,,34.00-34.00/35.00-35.00,Active
"PASADENA CITY",36352,"Music - Music Entrepreneurship ","1005.00* Commercial Music",,"C - CTE","A.S. Degree",,2018-03-05,33.00-33.00/35.00-35.00,33.00-33.00/35.00-35.00,Active
"SAN DIEGO MIRAMAR",36487,"Administrative Assistant","0514.00* Office Technology/Office Computer Applications","52.0401 Administrative Assistant and Secretarial Science, General.","C - CTE","A.S. Degree",,,,24.00-24.00/24.00-24.00,Active
